,Name,Album,Artist,Link
0,King the land OST,https://open.spotify.com/track/0T9uzv2TqgzU2F3z54vWX
1,Mo Bamba,MUDBOY,Sheck Wes,https://open.spotify.com/track/1Y373MqadDRtclJNdnUXVc?autoplay=true
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/track/2VDg6h3Qr3F8UuFVInQxE6
3,Foot Fungus,STOKELEY,Ski Mask The Slump God,https://open.spotify.com/track/3IOQZRcEkplCXg6LofKqE9?autoplay=true
4,Shhh (Pew Pew) - Slowed + Reverb,Shhh (Pew Pew) [Slowed + Reverb],Young Fanatic,https://open.spotify.com/track/341VrA2vPpLkvMk257RSVE
5,Rasputin,Rasputin,Majestic,https://open.spotify.com/track/72YRB6ar59nBsNdnn0cVdD
6,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,https://open.spotify.com/track/4keAoywVf4jxRvXU7ON0hV
7,Whoopty,Whoopty,CJ,https://open.spotify.com/track/6EKrBVHDk20hwjYWGPQQlF
8,Streets,Hot Pink,Doja Cat,https://open.spotify.com/track/7wz8LNfmGZ3C0PwKW9LdDg
9,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,https://open.spotify.com/album/2Lq2qX3hYhiuPckC8Flj21
10,Paparazzi,Paparazzi,Kim Dracula,https://open.spotify.com/track/6ZertsLLGL2puI2Vj5iy5T
11,hot girl bummer,hot girl bummer,blackbear,https://open.spotify.com/track/7LHZ7HA45ezKcdN8sBrBuS
12,Runnin Low,Runnin Low,Kieran Alleyne,https://open.spotify.com/track/40rWYHjkAyzpWkRsYXBAMW?autoplay=true
13,Моя голова винтом (My head is spinning like a screw),Моя голова винтом (My head is spinning like a screw),kostromin,https://open.spotify.com/track/1Ym7220l4W7Yz7Yt26rWSr?autoplay=true
14,Such a Whore (Stellular Remix),Such a Whore (Stellular Remix),JVLA,https://open.spotify.com/track/0VFfZVCFNe1I2IIChVBR5m?autoplay=true
15,Such a Whore (Instrumental),Such a Whore (Instrumental),JVLA,https://open.spotify.com/track/2gWmMg2PfK2b1vPJfCAhIV
