,Name,Album,Artist,Link
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/track/20on25jryn53hWghthWWW3?autoplay=true
1,Jocelyn Flores,17,XXXTENTACION,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z?autoplay=true
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/album/278z9UXJaMNDH9Bel9uAxV
3,how to live,how to live,yaeow,https://open.spotify.com/track/0OeFuOAu0P1ONYz5EDdqb2
4,It's You,YOU,Ali Gatie,https://open.spotify.com/track/4C8rq3ng0Yhbgo0kpwIhNB
5,Loosing Interest,Passion & Confusion,Timmies,https://open.spotify.com/album/3udIvIqyBG1RrHxXrUZDoK
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://open.spotify.com/artist/2w9zwq3AktTeYYMuhMjju8
7,Dead and Cold,Dead and Cold,ELIJAH MOON,https://open.spotify.com/album/4l9wMVL4XAM5jPMXP5RAbL
8,Heather,Kid Krow,Conan Gray,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
9,Reckless,Reckless,Madison Beer,https://open.spotify.com/album/5itVTi6rI3MlOcWBxROxd9
10,paradise,paradise,cliffe,https://open.spotify.com/album/35Q09Y0b7ZxOoCdF7sBiGf
11,Me Too,Me Too,April Jai,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
12,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/album/6AVjuEsz5TVQrOoRGIaicN
13,Circles,Hollywood's Bleeding,Post Malone,https://open.spotify.com/album/31t9iLimmriRn3Mviqywzw
14,All Alone,All Alone,Sølace,https://open.spotify.com/album/2TvfE8CY37OQIPVGcWYpEA
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,https://open.spotify.com/artist/3M09gMoXXM7K2RitFqbFSM

