"","Name","Album","Artist","Link"
"0","Sun Maahi","Sun Maahi","Armaan Malik","https://open.spotify.com/track/0tE3kaT3c9tjSiOqZJnM1X"
"1","Watermelon Sugar","Fine line","Harry Styles","https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY"
"2","Badtameez dil","Yeh jawani hai deewani","Pritam,Benny dayal","https://open.spotify.com/track/4eu27jAU2bbnyHUC3G75U8"
"3","Subharaambh","Kai po che","Amit trivedi","https://open.spotify.com/track/6qGCJLF0V7SuHTOOGUcDsv"
"4","Iraaday","Iraaday","Ravalio","https://open.spotify.com/track/6qrifdo7QINdPQr80IelGi"
"5","Dreamers","Music from FIFA","FIFA Sound","https://open.spotify.com/track/1RDvyOk4WtPCtoqciJwVn8"
"6","Man meri Jaan","Maan meri jaan (Afterlife)","King,Nick jonas","https://open.spotify.com/track/0NapkeC45rszeuSgbvcjx4"
"7","Vachindama","Geetha govindam","Sid Sriram","https://open.spotify.com/track/6obKaXHU2avqfLZFPjGm4K"
"8","Sooraj dhooba hai","Roi","Arjit singh","https://open.spotify.com/track/48pyUxg9RYuwie5M9R7qRn"
"9","Sugar","V (Deluxe)","Maroon 5","https://open.spotify.com/track/5d6Mjuu2uCGRPYpFjGpCX5"
"10","Girls Like You (feat. Cardi B)","Girls Like You (feat. Cardi B)","Maroon 5","https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8"
"11","Ice Cream (with Selena Gomez)","Ice Cream (with Selena Gomez)","BLACKPINK","https://open.spotify.com/track/1cdbkpZ3q1KYZDNSrOpdkb"
"12","It's your love","Life is Beautiful","Naresh iyer","https://open.spotify.com/track/2BtmRrC9Gd6jMziNs8eDxu"
"13","Roar","PRISM (Deluxe)","Katy Perry","https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM"
"14","The Lazy Song","Doo-Wops & Hooligans","Bruno Mars","https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM"
"15","Thinking out Loud","x (Deluxe Edition)","Ed Sheeran","https://open.spotify.com/track/6F5c58TMEs1byxUstkzVeM"
