,Name,Album,Artist,Link
0,Heathens,Heathens,Twenty One Pilots,https://open.spotify.com/track/20on25jryn53hWghthWWW3?autoplay=true
1,Attention,Voicenotes,Charlie Puth,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z?autoplay=true
2,There's Nothing Holdin' Me Back,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/album/278z9UXJaMNDH9Bel9uAxV
3,Believer,Evolve,Imagine Dragons,https://open.spotify.com/track/0OeFuOAu0P1ONYz5EDdqb2
4,Galway Girl,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/track/4C8rq3ng0Yhbgo0kpwIhNB
5,Faded,Different World,Alan Walker,https://open.spotify.com/album/3udIvIqyBG1RrHxXrUZDoK
6,Symphony (feat. Zara Larsson),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/artist/2w9zwq3AktTeYYMuhMjju8
7,Fight Song,Wildfire,Rachel Platten,https://open.spotify.com/album/4l9wMVL4XAM5jPMXP5RAbL
8,Rockabye (feat. Sean Paul & Anne-Marie),What Is Love? (Deluxe Edition),Clean Bandit,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
9,Shape of You,÷ (Deluxe),Ed Sheeran,https://open.spotify.com/album/5itVTi6rI3MlOcWBxROxd9
10,Something Just Like This,Memories...Do Not Open,The Chainsmokers,https://open.spotify.com/album/35Q09Y0b7ZxOoCdF7sBiGf
11,Treat You Better,Illuminate (Deluxe),Shawn Mendes,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
12,Thunder,Evolve,Imagine Dragons,https://open.spotify.com/album/6AVjuEsz5TVQrOoRGIaicN
13,Havana (feat. Young Thug),Camila,Camila Cabello,https://open.spotify.com/album/31t9iLimmriRn3Mviqywzw
14,Let Me Love You,Encore,DJ Snake,https://open.spotify.com/album/2TvfE8CY37OQIPVGcWYpEA
15,Mama,Blue,Jonas Blue,https://open.spotify.com/artist/3M09gMoXXM7K2RitFqbFSM

