,Name,Album,Artist,Link
0,Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,https://open.spotify.com/artist/0ieoS7ZGm9kfJ1txuSjLUx
1,Jocelyn Flores,17,XXXTENTACION,https://open.spotify.com/artist/189I14HgoKkmB02CoEN2po
2,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,https://open.spotify.com/track/25I7nPLlduKUP4iJatuIma
3,how to live,how to live,yaeow,https://open.spotify.com/artist/0A218SQBfhfYVBykWGmIVc
4,It's You,YOU,Ali Gatie,https://open.spotify.com/album/2r1FPqNY8op3T37PYORDVH
5,Loosing Interest,Passion & Confusion,Timmies,https://open.spotify.com/artist/44X0rUlJjErgpV1lMsrqCU
6,Tell Me Goodbye,Tell Me Goodbye,ORYL,https://open.spotify.com/artist/6MnWA8xVW1sEzV9s7wXpQb
7,Dead and Cold,Dead and Cold,ELIJAH MOON,https://open.spotify.com/track/1r27r8RJEX2Rq3Kr3Afbhv
8,Heather,Kid Krow,Conan Gray,https://open.spotify.com/artist/5wn7ofJrDNHlKovbljawzS
9,Reckless,Reckless,Madison Beer,https://open.spotify.com/artist/0bAN0dtIZuTD3Jf3nZScD7
10,paradise,paradise,cliffe,https://open.spotify.com/album/60Feba9tQ2HPbZvNbNriyu
11,Me Too,Me Too,April Jai,https://open.spotify.com/playlist/3c6c1zeHnpkfxqeg2hD80E
12,Six Feet Under,Six Feet Under,Billie Eilish,https://open.spotify.com/artist/3gacryguGmpmCvgPGt2CBI
13,Circles,Hollywood's Bleeding,Post Malone,https://open.spotify.com/artist/79EcOZxAxp3WBXD8BqTmJN
14,All Alone,All Alone,Sølace,https://open.spotify.com/artist/0ieoS7ZGm9kfJ1txuSjLUx
15,Nobody Knows My Name,Nobody Knows My Name,DANIEL,https://open.spotify.com/artist/189I14HgoKkmB02CoEN2po

