,Name,Album,Artist,Link
0,good 4 u,SOUR,Olivia Rodrigo,https://open.spotify.com/artist/1QfpRUtH14JLoY6F6AYmwt
1,Todo De Ti,Todo De Ti,Rauw Alejandro,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,https://open.spotify.com/artist/4sD9znwiVFx9cgRPZ42aQ1
3,Yonaguni,Yonaguni,Bad Bunny,https://open.spotify.com/artist/19ra5tSw0tWufvUp8GotLo
4,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://open.spotify.com/artist/0SD4eZCN4Kr0wQk56hCdh2
5,Beggin',Chosen,Måneskin,https://open.spotify.com/artist/4S9EykWXhStSc15wEx8QFK
6,deja vu,SOUR,Olivia Rodrigo,https://open.spotify.com/artist/0Je74SitssvJg1w4Ra2EK7
7,Butter,"Butter (Hotter, Sweeter, Cooler)",BTS,https://open.spotify.com/artist/6IRouO5mvvfcyxtPDKMYFN
8,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,https://open.spotify.com/artist/7jefIIksOi1EazgRTfW2Pk
9,Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,https://open.spotify.com/artist/7Ey4PD4MYsKc5I2dolUwbH
10,I WANNA BE YOUR SLAVE,Teatro d'ira - Vol. I,Måneskin,https://open.spotify.com/artist/7lqaPghwYv2mE9baz5XQmL
11,traitor,SOUR,Olivia Rodrigo,https://open.spotify.com/artist/3cniTumSiUysiPWXapGx1i
12,Qué Más Pues?,Qué Más Pues?,J Balvin,https://open.spotify.com/artist/07XSN3sPlIlB2L2XNcTwJw
13,happier,SOUR,Olivia Rodrigo,https://open.spotify.com/artist/5NGO30tJxFlKixkPSgXcFE
14,Save Your Tears (with Ariana Grande) (Remix),Save Your Tears (Remix),The Weeknd,https://open.spotify.com/artist/3Z02hBLubJxuFJfhacLSDc
15,drivers license,SOUR,Olivia Rodrigo,https://open.spotify.com/artist/1QfpRUtH14JLoY6F6AYmwt
